basepk,topic,category
1574317,income tax deduction for union dues,Public Finance and Taxation
1574380,legal counsel in the Ash-Temple case,"Justice, Constitution, and Indigenous Affairs"
1574408,Combines Investigation Act amendments,"Justice, Constitution, and Indigenous Affairs"
1574370,enforcement of the Combines Investigation Act,"Justice, Constitution, and Indigenous Affairs"
1574461,compensation for tuberculosis-reacting cattle,Agriculture and Food Policy
1574391,amendments to the Combines Investigation Act,"Justice, Constitution, and Indigenous Affairs"
1574464,compensation for slaughtered tuberculous cattle,Agriculture and Food Policy
1574376,antitrust law prosecutions and fines,"Justice, Constitution, and Indigenous Affairs"
1574356,withholding of the flour milling combines report,"Justice, Constitution, and Indigenous Affairs"
1574346,enforcement of the Combines Investigation Act,"Justice, Constitution, and Indigenous Affairs"
1574382,combines investigation report on flour milling,"Justice, Constitution, and Indigenous Affairs"
1574509,increased rental rates and housing legislation,Social Welfare and Labour
1574540,continuation of federal rent controls,Social Welfare and Labour
1574536,rental price control policy,Social Welfare and Labour
1574358,flour milling industry combines investigation report,Agriculture and Food Policy
1574355,flour milling industry price-fixing investigation,"Justice, Constitution, and Indigenous Affairs"
1574364,resignation of F.A. McGregor,Government and Parliamentary Affairs
1574367,withholding of the McGregor report on price manipulation,"Justice, Constitution, and Indigenous Affairs"
1574404,application of possessory principle to corporate conspiracy,"Justice, Constitution, and Indigenous Affairs"
1574385,legal admissibility of evidence in dental supplies case,"Justice, Constitution, and Indigenous Affairs"
1574363,resignation of commissioner F.A. McGregor,Government and Parliamentary Affairs
1574584,incorporation of Prairie Transmission Lines Limited,Transportation and Communications
1574572,government-authorized residential rent increases,Social Welfare and Labour
1574285,income tax deduction for union dues,Public Finance and Taxation
1574561,government policy on rental decontrol,Social Welfare and Labour
1574423,proposed legal amendment regarding prosecution procedures,"Justice, Constitution, and Indigenous Affairs"
1574565,federal rental control decontrol,Social Welfare and Labour
1574506,increase in domestic rental prices,Social Welfare and Labour
1574538,government rent control policy,Social Welfare and Labour
1574593,rent control policy,Social Welfare and Labour
1574400,combines investigation and legislative drafting,Government and Parliamentary Affairs
1574585,incorporation of Prairie Transmission Lines Limited,Transportation and Communications
1574511,federal rent control policy,Social Welfare and Labour
1574546,relaxation of federal rent controls,Social Welfare and Labour
1574611,increased rental prices,Social Welfare and Labour
1574557,residential rent increases,Social Welfare and Labour
1574523,residential rent increases,Social Welfare and Labour
1574582,regulation of natural gas pipeline ownership,Transportation and Communications
1574640,retention of rent controls,Social Welfare and Labour
1574627,government housing policy and rent control debates,Social Welfare and Labour
1574410,Combines Investigation Act enforcement and flour milling prosecutions,Government and Parliamentary Affairs
1574595,proposed residential rent increases,Social Welfare and Labour
1574616,post-war rent and price controls,Social Welfare and Labour
1574615,federal rent control increases,Social Welfare and Labour
1574626,subsidized low-rental housing program,Social Welfare and Labour
1574591,government-authorized domestic rent increases,Social Welfare and Labour
1574637,removal of federal rent controls,Social Welfare and Labour
1574542,proposed increase in domestic rental ceilings,Social Welfare and Labour
1574569,federal rental control validity and abandonment,Social Welfare and Labour
1574526,decontrol of wartime rental price controls,Social Welfare and Labour
1574741,refrigerator car supply for P.E.I. potatoes,Transportation and Communications
1574647,rent control and property rights,Social Welfare and Labour
1574642,residential rent increase calculations,Social Welfare and Labour
1574618,government-authorized rent increases and subsidized housing programs,Social Welfare and Labour
1574749,federal aid for education,"Justice, Constitution, and Indigenous Affairs"
1574655,removal of residential rent controls,Social Welfare and Labour
1574649,provincial jurisdiction over rent control,Natural Resources and Intergovernmental Relations
1574659,residential rent control increases,Social Welfare and Labour
1574563,government-mandated rental increases,Social Welfare and Labour
1574669,federal rent control and housing policy,Social Welfare and Labour
1574673,opposition to rent control removal,Social Welfare and Labour
1574758,air travel privileges for members of parliament,Government and Parliamentary Affairs
1574753,inadequacy of teacher salaries and educational funding,Social Welfare and Labour
1574651,federal withdrawal from rent control,Social Welfare and Labour
1574777,government rental controls,Social Welfare and Labour
1574306,income tax deductibility of trade union dues,Public Finance and Taxation
1574671,rent control and housing policy,Social Welfare and Labour
1574437,wartime flour milling company subsidies and regulation,Agriculture and Food Policy
1574717,coal supply contracts for R.C.A.F. Chatham station,Veterans' and Military Affairs
1574691,allocation criteria for veterans' rental housing,Veterans' and Military Affairs
1574776,parliamentary procedure regarding reference to prior debates,Government and Parliamentary Affairs
1574525,federal rent control policy amendments,Social Welfare and Labour
1574764,Sarnia armouries repair funding,Veterans' and Military Affairs
1574790,Excise Tax Act amendments and tax reductions,Public Finance and Taxation
1574784,government-funded housing construction research,Social Welfare and Labour
1574746,Canada's national security from attack,Veterans' and Military Affairs
1580672,Criminal Code amendment regarding crime comics,"Justice, Constitution, and Indigenous Affairs"
1574775,parliamentary debate on rental controls,Social Welfare and Labour
1574821,excise tax on watches and clocks,Public Finance and Taxation
1574809,reduction of excise tax on jewelry,Public Finance and Taxation
1580727,New Brunswick coal industry subventions,Natural Resources and Intergovernmental Relations
1574798,amendments to the Excise Tax Act,Public Finance and Taxation
1580723,financial condition of the Canadian coal industry,Natural Resources and Intergovernmental Relations
1574833,ten per cent excise tax application,Public Finance and Taxation
1580710,mechanization assistance for Atlantic coal producers,Natural Resources and Intergovernmental Relations
1580715,New Brunswick coal production assistance,Natural Resources and Intergovernmental Relations
1574778,procedural rules regarding rental control debate,Government and Parliamentary Affairs
1574815,opposition to hidden excise taxes,Public Finance and Taxation
1580731,mechanization of maritime coal mines,Natural Resources and Intergovernmental Relations
1574822,reduction of jewelry excise tax,Public Finance and Taxation
1580795,mechanization of Nova Scotia coal mines,Natural Resources and Intergovernmental Relations
1580721,financial solvency of the Canadian coal industry,Natural Resources and Intergovernmental Relations
1580803,coal processing and marketability improvements,Natural Resources and Intergovernmental Relations
1580713,federal loans for coal mine mechanization,Natural Resources and Intergovernmental Relations
1574832,pyramiding of excise tax on consumer goods,Public Finance and Taxation
1580741,increased coal production in Nova Scotia,Natural Resources and Intergovernmental Relations
1580681,official reserves of gold and U.S. dollars,Banking and Monetary Policy
1580812,government loans to coal mining companies,Natural Resources and Intergovernmental Relations
1580835,accelerated depreciation for Canadian mines,Public Finance and Taxation
1580735,Nova Scotia coal mining industry development,Natural Resources and Intergovernmental Relations
1580846,amendment to the Surplus Crown Assets Act,Government and Parliamentary Affairs
1580739,subsidies for nova scotia coal production,Natural Resources and Intergovernmental Relations
1580836,accelerated depreciation for maritime industries,Public Finance and Taxation
1574841,legislative agenda of the house,Government and Parliamentary Affairs
1580849,disposal and management of surplus crown assets,Government and Parliamentary Affairs
1580850,disposal of surplus crown assets,Public Finance and Taxation
1574834,collection of the ten per cent excise tax,Public Finance and Taxation
1580864,disposal of surplus crown assets,Public Finance and Taxation
1574839,pyramiding effect of excise and sales taxes,Public Finance and Taxation
1580851,disposal of surplus crown assets,Public Finance and Taxation
1580856,permanent establishment of Crown Assets Disposal Corporation,Government and Parliamentary Affairs
1580827,federal coal production subsidies for Dosco,Natural Resources and Intergovernmental Relations
1580820,coal mining financial assistance and loan conditions,Natural Resources and Intergovernmental Relations
1580771,financial assistance for maritime coal production,Natural Resources and Intergovernmental Relations
1580725,subsidies for the New Brunswick coal industry,Natural Resources and Intergovernmental Relations
1580737,government loans to maritime coal companies,Natural Resources and Intergovernmental Relations
1580724,mechanization and production of maritime coal,Natural Resources and Intergovernmental Relations
1580719,financial assistance for the coal mining industry,Natural Resources and Intergovernmental Relations
1580857,disposal of surplus crown assets,Public Finance and Taxation
1580818,coal production subsidy repayment terms,Natural Resources and Intergovernmental Relations
1581013,agricultural price supports and consumption subsidies,Agriculture and Food Policy
1580963,decline in Canadian agricultural exports to Britain,International Trade and Tariffs
1580667,congratulations to Jean-François Pouliot,Government and Parliamentary Affairs
1580869,exemption of Polymer Corporation from surplus assets disposal,Government and Parliamentary Affairs
1580834,federal subsidies for maritime coal mines,Natural Resources and Intergovernmental Relations
1580853,disposal of surplus crown assets,Public Finance and Taxation
1580880,disposal of surplus crown assets,Public Finance and Taxation
1581047,government policy and electoral criticism,Government and Parliamentary Affairs
1580919,export marketing difficulties for Canadian primary industries,International Trade and Tariffs
1581032,curtailment of Canadian exports to Britain,International Trade and Tariffs
1580806,coal loading delays at North Sydney,Transportation and Communications
1580888,disposal and transfer of surplus crown assets,Government and Parliamentary Affairs
1580819,government loans for coal mine mechanisation,Natural Resources and Intergovernmental Relations
1581026,Anglo-Canadian trade crisis,International Trade and Tariffs
1580917,reduction in Canadian agricultural and commodity exports,International Trade and Tariffs
1581020,United Kingdom market conditions,International Trade and Tariffs
1580890,disposal of surplus crown assets,Public Finance and Taxation
1581036,Canadian trade balance statistics,International Trade and Tariffs
1581043,international trade and balance of payments,International Trade and Tariffs
1580931,Canadian grain carryover and export markets,Agriculture and Food Policy
1581014,importance of Canadian export trade,International Trade and Tariffs
1581133,financial aid to Great Britain,Public Finance and Taxation
1581074,agricultural price controls and wartime subsidies,Agriculture and Food Policy
1581071,agricultural marketing and international trade policy,Agriculture and Food Policy
1581069,long-term agricultural production policy,Agriculture and Food Policy
1580996,bilateral trade agreements and agricultural price support,Agriculture and Food Policy
1580925,surplus of Canadian agricultural products and markets,Agriculture and Food Policy
1580943,decline in agricultural exports to Britain,Agriculture and Food Policy
1581062,export of agricultural commodities to Britain,Agriculture and Food Policy
1581073,international agricultural trade and market access,Agriculture and Food Policy
1581077,agricultural net income and production volume,Agriculture and Food Policy
1581048,wheat carryover statistics,Agriculture and Food Policy
1581129,agricultural production and taxation policies,Agriculture and Food Policy
1585658,modernization of maple syrup production equipment,Agriculture and Food Policy
1581110,decline in agricultural product export volumes,Agriculture and Food Policy
1585625,government public investment and construction programs,Public Finance and Taxation
1585662,Department of Agriculture equipment procurement,Agriculture and Food Policy
1581138,parliamentary legislative business schedule,Government and Parliamentary Affairs
1581135,international trade balance and dollar shortages,International Trade and Tariffs
1585645,cheese exports to Great Britain,Agriculture and Food Policy
1585725,Canadian agricultural export markets and trade policy,Agriculture and Food Policy
1585706,development of marshland drainage machinery,Agriculture and Food Policy
1585697,maritime dikeland reclamation expenditures,Agriculture and Food Policy
1585633,South Saskatchewan River irrigation project,Natural Resources and Intergovernmental Relations
1585745,international agricultural trade agreements,Agriculture and Food Policy
1585693,marshland reclamation projects,Agriculture and Food Policy
1581131,impact of taxation and monetary policy on agricultural production,Agriculture and Food Policy
1585743,Canada-United Kingdom food supply contracts,Agriculture and Food Policy
1585686,federal-provincial land drainage project funding,Natural Resources and Intergovernmental Relations
1585689,land protection and reclamation programs,Agriculture and Food Policy
1585727,post-war bacon export contracts to Britain,Agriculture and Food Policy
1585762,Canada-United Kingdom food export contracts,Agriculture and Food Policy
1585792,agricultural exports to Great Britain,Agriculture and Food Policy
1585723,United Kingdom wheat market and agricultural exports,Agriculture and Food Policy
1581084,decline in agricultural production and trade policy,Agriculture and Food Policy
1585753,Canada-United States long-term trade agreement,International Trade and Tariffs
1585737,Canada-United Kingdom agricultural food export contracts,Agriculture and Food Policy
1585796,British food supply contracts,Agriculture and Food Policy
1585720,international trade and agricultural surpluses,Agriculture and Food Policy
1585790,international agricultural trade policies,Agriculture and Food Policy
1585710,subsidies for potato storage warehouses,Agriculture and Food Policy
1585799,Agricultural Prices Support Act extension,Agriculture and Food Policy
1585735,Canada-United Kingdom agricultural export contracts,Agriculture and Food Policy
1585771,scheduling of parliamentary estimates debates,Government and Parliamentary Affairs
1585649,government subsidies for cheese producers,Agriculture and Food Policy
1581065,Canadian agricultural exports to Great Britain,Agriculture and Food Policy
1585718,export of Canadian agricultural products to Britain,Agriculture and Food Policy
1585704,reclamation of maritime marshlands,Agriculture and Food Policy
1585793,agricultural trade relations with Great Britain,Agriculture and Food Policy
1585775,parliamentary scheduling and legislative agenda,Government and Parliamentary Affairs
1585705,marshland reclamation and dike construction in Nova Scotia,Agriculture and Food Policy
1580817,coal mining industry loan repayment terms,Natural Resources and Intergovernmental Relations
1585893,pricing of Canadian agricultural exports,Agriculture and Food Policy
1585800,international wheat sales and agricultural trade policy,Agriculture and Food Policy
1585797,Anglo-Canadian agricultural trade and dollar shortage,Agriculture and Food Policy
1585841,export markets for hog surpluses,Agriculture and Food Policy
1585869,criticism of agricultural minister's policy,Agriculture and Food Policy
1580701,Colonial Airlines Montreal-New York air service permit,Transportation and Communications
1585756,export of agricultural products to the United Kingdom,Agriculture and Food Policy
1585803,agricultural price support and export markets,Agriculture and Food Policy
1585795,canadian agricultural exports to the united kingdom,Agriculture and Food Policy
1585873,western canadian wheat acreage reduction,Agriculture and Food Policy
1585826,availability of surplus agricultural products,Agriculture and Food Policy
1585801,export of Canadian farm products to Britain,Agriculture and Food Policy
1585912,post-war economic trade policy,International Trade and Tariffs
1585875,federal agricultural marketing subsidies,Agriculture and Food Policy
1585866,cheese production and export contracts,Agriculture and Food Policy
1586035,government employee patent rights,Government and Parliamentary Affairs
1586006,Canadian Commercial Corporation procurement funding,Public Finance and Taxation
1585865,Canadian agricultural export market concerns,Agriculture and Food Policy
1580823,"coal mining assistance in Minto, New Brunswick",Natural Resources and Intergovernmental Relations
1585894,agricultural trade policy with Great Britain,International Trade and Tariffs
1585962,canadian trade with the sterling area,International Trade and Tariffs
1585919,grain freight rate subsidies in Ontario,Transportation and Communications
1585918,grain transportation subsidies,Transportation and Communications
1585917,freight rate adjustments for grain shipments,Transportation and Communications
1585914,importance of foreign export trade,International Trade and Tariffs
1585995,evaluation of international trade fairs,International Trade and Tariffs
1586046,government policy on patent royalties for inventors,Government and Parliamentary Affairs
1585968,challenges facing Canadian export trade,International Trade and Tariffs
1585788,post-war agricultural export contracts to Britain,Agriculture and Food Policy
1586052,National Research Council funding and industrial research,Government and Parliamentary Affairs
1585854,Canadian bacon export contracts with Britain,International Trade and Tariffs
1585944,compensation for condemned cattle,Agriculture and Food Policy
1586323,parliamentary scheduling of financial policy debate,Government and Parliamentary Affairs
1586021,unauthorized government expenditure,Public Finance and Taxation
1585910,post-war agricultural trade agreements with Great Britain,International Trade and Tariffs
1586396,federal payments in lieu of municipal taxes,Public Finance and Taxation
1586071,trilateral atomic energy information exchange,Veterans' and Military Affairs
1585772,parliamentary scheduling and proceedings,Government and Parliamentary Affairs
1586025,unauthorized government expenditures,Public Finance and Taxation
1586280,public works projects in Newfoundland,Natural Resources and Intergovernmental Relations
1586095,reconstitution of the special committee on atomic energy,Government and Parliamentary Affairs
1586306,dredging at Wood Island harbour,Transportation and Communications
1586083,Dominion Bureau of Statistics potato crop estimates,Agriculture and Food Policy
1586410,Ottawa Agreement Act payment adjustment,International Trade and Tariffs
1586245,office space acquisition in Vancouver,Government and Parliamentary Affairs
1586248,construction of Vancouver post office building,Transportation and Communications
1586352,civil service salary adjustments,Government and Parliamentary Affairs
1586249,acquisition of Vancouver post office site,Transportation and Communications
1586277,allocation of public works funds in Newfoundland,Natural Resources and Intergovernmental Relations
1586403,municipal taxation of federal properties,Public Finance and Taxation
1586184,vancouver unemployment insurance office lease agreement,Social Welfare and Labour
1586087,railway grain elevator personnel work week,Social Welfare and Labour
1586270,construction of a bridge across the Ottawa River,Transportation and Communications
1586183,government building construction procurement irregularities,Government and Parliamentary Affairs
1586111,Department of Public Works staffing and operations,Government and Parliamentary Affairs
1586316,international currency convertibility,Banking and Monetary Policy
1586086,five-day work week for grain commissioners,Social Welfare and Labour
1585780,agricultural export contracts and surplus commodities,Agriculture and Food Policy
1586411,Ottawa municipal financial arrangements,Natural Resources and Intergovernmental Relations
1586331,civil service pension scheme reform,Social Welfare and Labour
1586381,federal grants in lieu of municipal taxes,Natural Resources and Intergovernmental Relations
1586324,parliamentary procedure for departmental estimates,Government and Parliamentary Affairs
1586330,increased pensions for retired civil servants,Social Welfare and Labour
1586438,war veterans allowance and special assistance fund,Veterans' and Military Affairs
1586405,municipal grants in lieu of taxes for military property,Public Finance and Taxation
1586364,miscellaneous unforeseen government expenditures,Public Finance and Taxation
1586479,re-entry of Japanese Canadians to Canada,"Justice, Constitution, and Indigenous Affairs"
1586312,excise tax on miniature medals,Public Finance and Taxation
1586271,construction of a bridge over the Ottawa river,Transportation and Communications
1586318,department of finance budget estimates,Public Finance and Taxation
1586433,veterans benefits for merchant marine personnel,Veterans' and Military Affairs
1586468,parliamentary staff remuneration and retention,Government and Parliamentary Affairs
1586327,statutory authority for continuing appropriation items,Public Finance and Taxation
1586404,municipal tax payments for government property,Public Finance and Taxation
1585774,parliamentary scheduling and legislative procedure,Government and Parliamentary Affairs
1586401,federal grants in lieu of municipal taxes,Natural Resources and Intergovernmental Relations
1586281,public works projects in Newfoundland,Natural Resources and Intergovernmental Relations
1586466,House of Commons sessional employees working conditions,Government and Parliamentary Affairs
1586478,repayment of wartime repatriation and subsistence costs,Veterans' and Military Affairs
1586502,enforcement of the Combines Investigation Act,"Justice, Constitution, and Indigenous Affairs"
1586475,repayment of repatriation travel costs for veterans,Veterans' and Military Affairs
1586436,veterans' hospital services and interdepartmental cooperation,Veterans' and Military Affairs
1581181,establishment of the Department of Mines and Technical Surveys,Natural Resources and Intergovernmental Relations
1586500,parliamentary member disqualification and legal compliance,Government and Parliamentary Affairs
1581148,Canada-United States bilateral air agreement,Transportation and Communications
1586510,tuberculosis treatment in federal penitentiaries,"Justice, Constitution, and Indigenous Affairs"
1586408,federal payments to municipalities in lieu of taxes,Government and Parliamentary Affairs
1586441,parliamentary committee oversight of veterans legislation,Veterans' and Military Affairs
1586520,constitutional amendment correspondence with provincial premiers,Natural Resources and Intergovernmental Relations
1586450,veteran war service gratuity credits,Veterans' and Military Affairs
1586311,rent control and luxury tax on medals,Public Finance and Taxation
1586406,maternity hospitalization in Chilliwack,Social Welfare and Labour
1581161,federal assistance regarding Doukhobor unrest in British Columbia,"Justice, Constitution, and Indigenous Affairs"
1581178,creation of the Department of Resources and Development,Natural Resources and Intergovernmental Relations
1581214,importance of federal mining geological records,Natural Resources and Intergovernmental Relations
1586473,rights and claims of Indigenous peoples,"Justice, Constitution, and Indigenous Affairs"
1586453,rehabilitation benefits for South African war nurses,Veterans' and Military Affairs
1586498,resignation of the minister of justice,Government and Parliamentary Affairs
1581179,creation of a new department of resources and development,Natural Resources and Intergovernmental Relations
1581224,creation of department of mines and technical surveys,Natural Resources and Intergovernmental Relations
1581216,restructuring of government departments,Government and Parliamentary Affairs
1585782,post-war agricultural product export agreements,International Trade and Tariffs
1581194,tabling of departmental reports,Government and Parliamentary Affairs
1586492,old age pension administration in Yukon,Social Welfare and Labour
1586457,amendments to the War Veterans Allowance Act,Veterans' and Military Affairs
1581182,creation of a new department of resources and development,Natural Resources and Intergovernmental Relations
1581187,creation of the Department of Resources and Development,Natural Resources and Intergovernmental Relations
1581234,collaboration in federal and provincial mining services,Natural Resources and Intergovernmental Relations
1581217,creation of Department of Mines and Technical Surveys,Natural Resources and Intergovernmental Relations
1581190,consolidation of departmental legislation,Government and Parliamentary Affairs
1581204,administrative restructuring of federal resources departments,Natural Resources and Intergovernmental Relations
1581232,coordination of federal and provincial research activities,Natural Resources and Intergovernmental Relations
1581228,staffing levels for the Department of Mines and Technical Surveys,Government and Parliamentary Affairs
1581195,statutory compliance in tabling government reports,Government and Parliamentary Affairs
1586429,hospitalization benefits for merchant navy veterans,Veterans' and Military Affairs
1581233,university research in mining and geology,Natural Resources and Intergovernmental Relations
1581249,creation of department of citizenship and immigration,"Justice, Constitution, and Indigenous Affairs"
1581297,cabinet expansion and ministerial salaries,Government and Parliamentary Affairs
1581257,administration and welfare of indigenous peoples,"Justice, Constitution, and Indigenous Affairs"
1581259,revision of the Indian Act,"Justice, Constitution, and Indigenous Affairs"
1581272,civil service employment termination procedures,Government and Parliamentary Affairs
1581251,administrative improvements to immigration services,"Justice, Constitution, and Indigenous Affairs"
1581225,creation of a separate department of mines,Natural Resources and Intergovernmental Relations
1581262,application of the Indian Act to Newfoundland,"Justice, Constitution, and Indigenous Affairs"
1581261,federal responsibility for Newfoundland Indians and Eskimos,"Justice, Constitution, and Indigenous Affairs"
1581284,administration of indian health services,"Justice, Constitution, and Indigenous Affairs"
1581332,Veterans Land Act loans for co-operative farming,Agriculture and Food Policy
1581220,departmental staff reorganization and downsizing,Government and Parliamentary Affairs
1581283,administrative consolidation of indigenous affairs management,"Justice, Constitution, and Indigenous Affairs"
1581296,ministerial salaries and departmental restructuring,Government and Parliamentary Affairs
1581260,establishment of immigration settlement and assistance services,"Justice, Constitution, and Indigenous Affairs"
1581340,Veterans Land Act small holdings and cooperatives,Agriculture and Food Policy
1581348,Veterans Land Act contract requirements,Agriculture and Food Policy
1581299,ministerial motor car allowances,Government and Parliamentary Affairs
1581285,administrative reorganization of indian affairs,"Justice, Constitution, and Indigenous Affairs"
1581333,amendments to the Veterans Land Act,Veterans' and Military Affairs
1581366,Veterans Land Act conditional grants,Veterans' and Military Affairs
1581250,proposed revisions to the Indian Act,"Justice, Constitution, and Indigenous Affairs"
1581338,amendments to the Veterans Land Act,Veterans' and Military Affairs
1581281,employment of temporary seasonal survey workers,Government and Parliamentary Affairs
1581219,creation of the department of mines and technical surveys,Government and Parliamentary Affairs
1581248,creation of new cabinet portfolios,Government and Parliamentary Affairs
1581363,Veterans Land Act contract modification requirements,Veterans' and Military Affairs
1581286,administrative transfer of indian affairs responsibilities,"Justice, Constitution, and Indigenous Affairs"
1581386,Veterans Land Act small holdings development,Veterans' and Military Affairs
1581358,Veterans Land Act small holding regulations,Veterans' and Military Affairs
1581334,Veterans Land Act housing construction,Veterans' and Military Affairs
1581254,creation of Department of Citizenship and Immigration,Government and Parliamentary Affairs
1581372,Veterans Land Act contract modifications,Veterans' and Military Affairs
1581270,treatment of immigrants by government civil servants,"Justice, Constitution, and Indigenous Affairs"
1581166,construction of Ottawa bus shelters,Transportation and Communications
1581399,Veterans Land Act land requirements,Veterans' and Military Affairs
1581369,Veterans Land Act contract provisions,Veterans' and Military Affairs
1586329,pensions for superannuated civil servants,Social Welfare and Labour
1581392,Veterans Land Act small holding acreage requirements,Veterans' and Military Affairs
1581397,Veterans Land Act housing provisions,Veterans' and Military Affairs
1581394,delays in Veterans Land Act legal transactions,Veterans' and Military Affairs
1581398,Veterans Land Act smallholdings provisions,Veterans' and Military Affairs
1581377,Veterans Land Act re-establishment eligibility,Veterans' and Military Affairs
1581184,creation of a federal department of mines,Government and Parliamentary Affairs
1581389,Veterans Land Act contract modifications,Veterans' and Military Affairs
1581235,co-ordination of federal research activities,Government and Parliamentary Affairs
1581474,Alberta Natural Gas Company incorporation bill,Natural Resources and Intergovernmental Relations
1581531,establishment of national contributory old-age pensions,Social Welfare and Labour
1581415,refund of veterans' land act down payments,Veterans' and Military Affairs
1581414,Veterans Land Act contract refund conditions,Veterans' and Military Affairs
1581445,Alberta Natural Gas Company incorporation bill,Natural Resources and Intergovernmental Relations
1581402,Veterans Land Act contract termination procedures,Veterans' and Military Affairs
1581522,federal allowances for incurably ill persons,Social Welfare and Labour
1581504,parliamentary procedure for departmental estimates,Government and Parliamentary Affairs
1581497,parliamentary procedure regarding departmental estimates,Government and Parliamentary Affairs
1581503,administration of the department of national health and welfare,Social Welfare and Labour
1581507,means test for old age pensions,Social Welfare and Labour
1581379,Veterans' Land Act contract modifications,Veterans' and Military Affairs
1581453,Alberta Natural Gas Company incorporation bill,Natural Resources and Intergovernmental Relations
1581440,Alberta natural gas pipeline route and regulation,Natural Resources and Intergovernmental Relations
1581495,national health insurance policy,Social Welfare and Labour
1581455,income tax deduction of union dues,Public Finance and Taxation
1581410,rehabilitation benefits under the Veterans Land Act,Veterans' and Military Affairs
1581422,Veterans Land Act repair and property improvement costs,Veterans' and Military Affairs
1581393,Veterans Land Act acreage requirements,Veterans' and Military Affairs
1581442,Alberta natural gas pipeline route selection,Natural Resources and Intergovernmental Relations
1581448,Alberta Natural Gas Company incorporation,Natural Resources and Intergovernmental Relations
1581416,Veterans Land Act property contract modifications,Veterans' and Military Affairs
1581280,civil service appointments and patronage in new department,Government and Parliamentary Affairs
1581536,experimental medical drug research,Social Welfare and Labour
1581555,House of Commons sitting schedule,Government and Parliamentary Affairs
1581532,federal funding for arthritis research and treatment,Social Welfare and Labour
1581549,industrial pension plan coverage statistics,Social Welfare and Labour
1581557,parliamentary session adjournment,Government and Parliamentary Affairs
1581538,medical research for arthritis treatment,Social Welfare and Labour
1581623,Emergency Gold Mining Assistance Act extension,Natural Resources and Intergovernmental Relations
1581523,elimination of the old age pension means test,Social Welfare and Labour
1581273,work of the citizenship branch,"Justice, Constitution, and Indigenous Affairs"
1581612,government subsidy policy for mining industries,Natural Resources and Intergovernmental Relations
1581500,parliamentary procedure regarding departmental estimates,Government and Parliamentary Affairs
1581698,monetary policy and debt-free money creation,Banking and Monetary Policy
1581634,customs act amendment regarding value for duty,International Trade and Tariffs
1581620,government subsidies for gold mining companies,Natural Resources and Intergovernmental Relations
1581690,monetary policy and economic depression causes,Banking and Monetary Policy
1581605,emergency gold mining assistance subsidies,Natural Resources and Intergovernmental Relations
1581663,social credit monetary policy proposals,Banking and Monetary Policy
1581577,Saturday evening House sitting adjournment,Government and Parliamentary Affairs
1581679,monetary policy and economic stability,Banking and Monetary Policy
1581611,Emergency Gold Mining Assistance Act,Natural Resources and Intergovernmental Relations
1581619,emergency gold mining assistance,Natural Resources and Intergovernmental Relations
1581625,subsidies for gold mining production,Natural Resources and Intergovernmental Relations
1581626,gold mining and agricultural development,Natural Resources and Intergovernmental Relations
1581686,monetary policy and post-war economic reform,Banking and Monetary Policy
1581655,rising cost of living and universal pensions,Social Welfare and Labour
1581590,RCMP assistance regarding Doukhobor depredations,"Justice, Constitution, and Indigenous Affairs"
1581529,industrial pension plans,Social Welfare and Labour
1581624,subsidies for the gold mining industry,Natural Resources and Intergovernmental Relations
1581622,taxation of gold mines in municipalities,Public Finance and Taxation
1581659,economic impact of universal old-age pensions,Social Welfare and Labour
1581704,industrial pensions,Social Welfare and Labour
1581638,customs duty valuation on British imports,International Trade and Tariffs
1581593,Overseas Telecommunication Corporation legislative amendments,Transportation and Communications
1581653,national industrial pension schemes,Social Welfare and Labour
1581726,communism in trade unions,Social Welfare and Labour
1581732,canadian economic outlook and employment predictions,Public Finance and Taxation
1581743,communist influence in trade unions and industrial pensions,Social Welfare and Labour
1581684,creation of currency in Canada,Banking and Monetary Policy
1581437,Alberta Natural Gas Company pipeline proposal,Transportation and Communications
1581650,Department of Labour administrative efficiency,Government and Parliamentary Affairs
1581815,actuarial interest rates for government annuities,Public Finance and Taxation
1581810,government annuities committee proposal,Public Finance and Taxation
1581644,labour unionization and departmental labour estimates,Social Welfare and Labour
1581782,dominion-provincial constitutional conference and BNA Act amendments,"Justice, Constitution, and Indigenous Affairs"
1581729,federal sharing of municipal unemployment relief costs,Social Welfare and Labour
1581733,federal assistance for municipal relief costs,Social Welfare and Labour
1581702,monetary policy and distribution of abundance,Banking and Monetary Policy
1581751,promotion of technical and vocational education,Social Welfare and Labour
1581694,fiscal policy and credit stimulation,Banking and Monetary Policy
1581854,federal government fair wage policy,Social Welfare and Labour
1581851,awarding government contracts to union shops,Social Welfare and Labour
1581738,employment of workers over forty years old,Social Welfare and Labour
1581770,growing unemployment in British Columbia,Social Welfare and Labour
1581836,department of national revenue personnel increases,Government and Parliamentary Affairs
1586509,medical care for prisoners with communicable diseases,"Justice, Constitution, and Indigenous Affairs"
1581853,government contract fair wage clauses,Social Welfare and Labour
1581871,Canadian standard of living and social conditions,Social Welfare and Labour
1581866,improvement of Canadian living standards,Social Welfare and Labour
1581835,reduction of government annuity interest rates,Public Finance and Taxation
1581847,application of provincial labour standards on federal projects,Social Welfare and Labour
1581765,employment of older and handicapped workers,Social Welfare and Labour
1581719,tuberculosis control and public health in Newfoundland,Social Welfare and Labour
1581827,government annuities interest rates,Banking and Monetary Policy
1581852,fair-wage clauses in government contracts,Social Welfare and Labour
