topic,category,error
full and free debate,Parliamentary Procedure,
flag design and parliamentary procedure,Government & Electoral Affairs,
parliamentary procedure and legislative agenda,Parliamentary Procedure,
union jack debate in committee,Government & Electoral Affairs,
committee debate time limits,Parliamentary Procedure,
committee powers on flag debate,Parliamentary Procedure,
parliamentary impasse and suggested resolution,Parliamentary Procedure,
amendments to legislation,Parliamentary Procedure,
committee consideration of bill relevance,Parliamentary Procedure,
flag debate procedure and time allocation,Parliamentary Procedure,
V.E. day flag on peace tower,Government & Electoral Affairs,
municipal winter works incentive program payments,Economy & Public Finance,
UN force in Cyprus and NATO,Trade & Foreign Affairs,
Canada's role in Cyprus UN force,Trade & Foreign Affairs,
Canada's role in NATO nuclear defence,Defence & National Security,
housing conditions and minister of urban affairs,Social Policy,
admission of union negotiators to Canada,"Justice, Rights & Immigration",
UN stand-by battalion and changing of the guard ceremony,Defence & National Security,
manufacturing industry production and economic situation,Economy & Public Finance,
Department of Industry establishment and programs,Economy & Public Finance,
defence procurement and industry organization,Defence & National Security,
Canada-US defence development and production sharing,Trade & Foreign Affairs,
Fisher Company relocation and US duties,Trade & Foreign Affairs,
defence industrial research assistance programs,Defence & National Security,
heavy water plant location and performance bonds,"Sectoral Policy: Resources, Agriculture & Transport",
increasing industrial efficiency and productivity,Economy & Public Finance,
taxation of production machinery,Taxation,
Queen's Printer's role in book and pamphlet production,Government & Electoral Affairs,
reorganization of government printing services,Government & Electoral Affairs,
transfer of printing procurement powers,Government & Electoral Affairs,
disposal of Canadian Arsenals plants,Defence & National Security,
sale of small arms plant and ammunition quality,Defence & National Security,
feed grain assistance policy modifications,"Sectoral Policy: Resources, Agriculture & Transport",
amendment to interim assistance measures,Economy & Public Finance,
amendment to fisheries act on forfeiture,"Sectoral Policy: Resources, Agriculture & Transport",
Shevchenko monument and Ukrainian-Canadian heritage,Government & Electoral Affairs,
question of personal privilege,Parliamentary Procedure,
adjournment for Labour Day,Parliamentary Procedure,
armed robbery convictions and penitentiary costs,"Justice, Rights & Immigration",
Indian band rights of way and private debts,"Justice, Rights & Immigration",
statistics on bankruptcies by industry and value,Economy & Public Finance,
Department of Transport airport expenditures,"Sectoral Policy: Resources, Agriculture & Transport",
roads to resources program Kingston peninsula loop,"Sectoral Policy: Resources, Agriculture & Transport",
salaries of Canadian immigration staff abroad,"Justice, Rights & Immigration",
national defence concrete block standards,Defence & National Security,
minister's tour of northern territories,Government & Electoral Affairs,
civil defence planning and estimates,Defence & National Security,
restrictive trade practices commission reports,Economy & Public Finance,
FLQ subversive activity and law and order,"Justice, Rights & Immigration",
Canada participation in Accra trade fair,Trade & Foreign Affairs,
Canadian Wheat Board purchase prices,"Sectoral Policy: Resources, Agriculture & Transport",
hypothetical question and debate opportunity,Parliamentary Procedure,
salvaging antique wrecks,"Sectoral Policy: Resources, Agriculture & Transport",
commemoration of Charlottetown conference,Government & Electoral Affairs,
ARDA program and political interference,"Sectoral Policy: Resources, Agriculture & Transport",
new dairy program,"Sectoral Policy: Resources, Agriculture & Transport",
civil service commission pay increases,Government & Electoral Affairs,
National Housing Act amendments,Social Policy,
allegations of misconduct,Parliamentary Procedure,
Mr. Banks' tax liability and residency,Taxation,
national nutrition survey,Social Policy,
Indian Act property claims,"Justice, Rights & Immigration",
national flag for Canada,Government & Electoral Affairs,
repatriation of the constitution and Canadian nationhood,Constitutional & Intergovernmental Relations,
criticism of Liberal party leadership,Government & Electoral Affairs,
criticism of government silence and secrecy,Government & Electoral Affairs,
Canadian flag design ministers,Government & Electoral Affairs,
distinctive flag debate,Government & Electoral Affairs,
Canadian flag debate and parliamentary procedure,Government & Electoral Affairs,
national flag debate and government tactics,Government & Electoral Affairs,
national unity and federal-provincial relations,Constitutional & Intergovernmental Relations,
Canadian flag and national identity,Constitutional & Intergovernmental Relations,
Canadian unity and nationality,Constitutional & Intergovernmental Relations,
Canadian flag design and heritage,Constitutional & Intergovernmental Relations,
national flag debate and parliamentary procedure,Parliamentary Procedure,
national flag of Canada debate,Constitutional & Intergovernmental Relations,
Canadian flag and anthem,Constitutional & Intergovernmental Relations,
free vote on national flag debate,Parliamentary Procedure,
Canadian flag debate and party politics,Constitutional & Intergovernmental Relations,
national symbols and heritage,Constitutional & Intergovernmental Relations,
Canadian flag debate and party divisions,Constitutional & Intergovernmental Relations,
parliamentary procedure and democratic consent,Parliamentary Procedure,
parliamentary debate on national flag design,Constitutional & Intergovernmental Relations,
federal government salary and wage price index,Economy & Public Finance,
prevailing wage rates for ships' personnel,"Sectoral Policy: Resources, Agriculture & Transport",
use of government vehicles for private purposes,Government & Electoral Affairs,
postage stamp issue and government,Government & Electoral Affairs,
water resources management and northern river diversion,"Sectoral Policy: Resources, Agriculture & Transport",
Regway port traffic and service hours,"Sectoral Policy: Resources, Agriculture & Transport",
radio broadcasting licence transfer,Government & Electoral Affairs,
airport access engineering study funding,"Sectoral Policy: Resources, Agriculture & Transport",
federal contribution to Vancouver airport road,"Sectoral Policy: Resources, Agriculture & Transport",
Canadian red ensign debate,Constitutional & Intergovernmental Relations,
Canadian military history and national symbols,Constitutional & Intergovernmental Relations,
symbolism of the union jack in Canadian history,Constitutional & Intergovernmental Relations,
pledge of allegiance to the Canadian flag,Constitutional & Intergovernmental Relations,
Canadian red ensign flag debate,Constitutional & Intergovernmental Relations,
point of order on debate rules,Parliamentary Procedure,
repatriation of the British North America Act,Constitutional & Intergovernmental Relations,
parliamentary discussion on constitution repatriation,Constitutional & Intergovernmental Relations,
parliamentary discussion of constitutional amendment procedure,Constitutional & Intergovernmental Relations,
evacuation of Canadians in the Congo,Trade & Foreign Affairs,
Canadian wheat supply to India,Trade & Foreign Affairs,
farmer transportation subsidies for feed grain,"Sectoral Policy: Resources, Agriculture & Transport",
royal visit security precautions,Defence & National Security,
security for royal visit,Defence & National Security,
nationalist demonstrations against prime minister,Government & Electoral Affairs,
investigation into Mr. Banks's whereabouts,"Justice, Rights & Immigration",
supplementary federal winter construction program,Economy & Public Finance,
federal-provincial jurisdiction over Indians,Constitutional & Intergovernmental Relations,
Canadian sovereignty over Arctic islands,Constitutional & Intergovernmental Relations,
caesium 137 levels in Canadian Eskimos,Social Policy,
staff holidays during house sessions,Parliamentary Procedure,
FLQ violence and administration of justice,"Justice, Rights & Immigration",
Department of Labour estimates and employment programs,Economy & Public Finance,
tribute to William Jenoves and Canadian labour movement,Social Policy,
unemployment and government policy,Social Policy,
unemployment and S.I.U. administration,Social Policy,
Hal Banks bail and extradition,"Justice, Rights & Immigration",
Hal Banks extradition and Canadian justice,"Justice, Rights & Immigration",
Hal Banks bail and prosecution,"Justice, Rights & Immigration",
bail provisions and court decisions,"Justice, Rights & Immigration",
bail for accused persons,"Justice, Rights & Immigration",
bail and recognizance for accused,"Justice, Rights & Immigration",
conviction of Mr. Banks,"Justice, Rights & Immigration",
Norris commission prosecution evidence,"Justice, Rights & Immigration",
national labour code legislation,Social Policy,
national labour code and automation's impact on income,Social Policy,
labour conditions in the territories,Social Policy,
labour standards and housing programs,Social Policy,
Government Annuities Act provisions,Social Policy,
government annuities interest rates and Canada pension plan,Social Policy,
Government Annuities Act and Canada pension plan,Social Policy,
training allowances and program efficacy,Social Policy,
landlord and tenant quiet enjoyment covenant,"Justice, Rights & Immigration",
criminal code provisions on property possession,"Justice, Rights & Immigration",
Canada-Japan ministerial committee meeting,Trade & Foreign Affairs,
Canada-Japan ministerial meeting and trade relations,Trade & Foreign Affairs,
Canadian trade and aid in Pacific countries,Trade & Foreign Affairs,
Queen's visit security concerns,Defence & National Security,
Queen's visit to Canada,Trade & Foreign Affairs,
Formosa and Canadian foreign policy,Trade & Foreign Affairs,
treaty ratifications and heads of government meeting,Trade & Foreign Affairs,
FLQ involvement in arms theft and homicide,"Justice, Rights & Immigration",
national flag debate and Conservative record,Constitutional & Intergovernmental Relations,
national flag and anthem public opinion survey,Constitutional & Intergovernmental Relations,
partisan attacks on Liberal and Conservative parties,Government & Electoral Affairs,
debate on a distinctive Canadian flag,Constitutional & Intergovernmental Relations,
national flag debate and party promises,Constitutional & Intergovernmental Relations,
Leader of the Opposition's plebiscite demands,Parliamentary Procedure,
national flag design and adoption,Constitutional & Intergovernmental Relations,
explanation of speech material,Parliamentary Procedure,
Bordeaux jail immigration procedures,"Justice, Rights & Immigration",
inquiry into economic and social forces affecting Canadian unity,Constitutional & Intergovernmental Relations,
seismic operations and fish stocks,"Sectoral Policy: Resources, Agriculture & Transport",
oil pollution prevention regulations,"Sectoral Policy: Resources, Agriculture & Transport",
number of broadcasting stations in Canada,Government & Electoral Affairs,
Canada-US unemployment insurance reciprocal arrangement,Social Policy,
radio and television licence applications,Government & Electoral Affairs,
migratory bird habitat management,"Sectoral Policy: Resources, Agriculture & Transport",
expenditures for historic sites restoration,Government & Electoral Affairs,
pesticide residue levels in food,Social Policy,
caisses populaires and Bank of Canada dealings,Economy & Public Finance,
alcoholism and drug addiction death rates,Social Policy,
Canadian military assistance to Malaysia,Defence & National Security,
siren system malfunction and response,Defence & National Security,
destroyer conversion program status,Defence & National Security,
meeting on flag debate impasse,Parliamentary Procedure,
Canadian flag debate procedure,Parliamentary Procedure,
Canadian flag committee debate,Parliamentary Procedure,
Canadian Flag debate,Constitutional & Intergovernmental Relations,
committee on hate literature and Criminal Code amendments,"Justice, Rights & Immigration",
UN peace force financing in Cyprus,Trade & Foreign Affairs,
national health and welfare department expenditures,Social Policy,
Canada pension plan and health charter,Social Policy,
Bell Telephone Company and Northern Electric relationship,"Sectoral Policy: Resources, Agriculture & Transport",
felicitations to deputy minister of health,Social Policy,
universal old age pensions and health department development,Social Policy,
naming of Brooke Claxton building,Social Policy,
national survey of older citizens' needs,Social Policy,
chinese immigration status adjustment amnesty,"Justice, Rights & Immigration",
amnesty for non-permanent visa holders,"Justice, Rights & Immigration",
Chinese Canadian community and immigration statement,"Justice, Rights & Immigration",
amnesty period for Chinese immigrants,"Justice, Rights & Immigration",
demonstrators removed from R.C.A.F. station,Defence & National Security,
consultation with pharmaceutical association,Social Policy,
student loan application forms,Social Policy,
federal health policy and provincial responsibilities,Social Policy,
government spending on social programs,Social Policy,
Hall report recommendations on drug costs,Social Policy,
Hall commission report on health care financing,Social Policy,
hospital costs and nursing wages,Social Policy,
hospital bed grants and construction,Social Policy,
federal-provincial hospital funding,Social Policy,
federal-provincial health cost sharing,Social Policy,
old age security and pension plan reform,Social Policy,
Department of Mines and Technical Surveys activities,"Sectoral Policy: Resources, Agriculture & Transport",
centennial celebration telescope construction,"Sectoral Policy: Resources, Agriculture & Transport",
large optical telescope project,"Sectoral Policy: Resources, Agriculture & Transport",
coal subventions and western coal sales,"Sectoral Policy: Resources, Agriculture & Transport",
order of business for farm legislation,"Sectoral Policy: Resources, Agriculture & Transport",
statement on future business of the house,Parliamentary Procedure,
World Bank and IMF annual meetings,Economy & Public Finance,
farm machinery credit and loans,"Sectoral Policy: Resources, Agriculture & Transport",
rail car ferry service between North Sydney and Port aux Basques,"Sectoral Policy: Resources, Agriculture & Transport",
Department of Defence Production contracts and employment,Defence & National Security,
employee lay-off and seniority dispute,Economy & Public Finance,
financial assistance to Canadian mental health association,Social Policy,
atomic energy control regulations for radioactive materials,"Sectoral Policy: Resources, Agriculture & Transport",
designated areas federal tax incentives program,Taxation,
roads to resources agreement Nova Scotia,"Sectoral Policy: Resources, Agriculture & Transport",
appointment of Don Peacock to assist Minister of Agriculture,"Sectoral Policy: Resources, Agriculture & Transport",
seal killing and animal cruelty,"Sectoral Policy: Resources, Agriculture & Transport",
RCAF police interaction with demonstrators,Defence & National Security,
safety of Canadians abroad,Trade & Foreign Affairs,
grain drying facilities at government elevator,"Sectoral Policy: Resources, Agriculture & Transport",
Mactaquac power development project assistance,"Sectoral Policy: Resources, Agriculture & Transport",
power projects and grants,"Sectoral Policy: Resources, Agriculture & Transport",
Mount Hope airport discussions,"Sectoral Policy: Resources, Agriculture & Transport",
Canada Student Loans Act administration,Social Policy,
Farm Improvement Loans Act amendments,"Sectoral Policy: Resources, Agriculture & Transport",
rationalization of railway branch lines and freight rates,"Sectoral Policy: Resources, Agriculture & Transport",
railway transportation policy and competition,"Sectoral Policy: Resources, Agriculture & Transport",
railway freight rates and uneconomic services,"Sectoral Policy: Resources, Agriculture & Transport",
debate on second reading of bill,Parliamentary Procedure,
railway branch line rationalization and regulation,"Sectoral Policy: Resources, Agriculture & Transport",
annual C.N.R. audit bill procedure,Parliamentary Procedure,
committee consideration of clauses,Parliamentary Procedure,
representation by population and British North America Act,Constitutional & Intergovernmental Relations,
representation by population in provinces,Constitutional & Intergovernmental Relations,
unemployment insurance for striking newspaper workers,Social Policy,
Cyprus situation and UN appeal,Trade & Foreign Affairs,
distinctive maple leaf flag,Government & Electoral Affairs,
government actions in Cape Breton,Constitutional & Intergovernmental Relations,
Newfoundland ferry service decision,"Sectoral Policy: Resources, Agriculture & Transport",
area development agency and provincial programs,"Sectoral Policy: Resources, Agriculture & Transport",
British Columbia premier's territorial ambitions,Constitutional & Intergovernmental Relations,
Hal Banks court proceedings and bond forfeiture,"Justice, Rights & Immigration",
hate literature evidence for test case,"Justice, Rights & Immigration",
St. Lawrence navigation aids after ship sinking,"Sectoral Policy: Resources, Agriculture & Transport",
order of business farm machinery syndicates,"Sectoral Policy: Resources, Agriculture & Transport",
farm improvement loans act,"Sectoral Policy: Resources, Agriculture & Transport",
credit for farm machinery syndicates,"Sectoral Policy: Resources, Agriculture & Transport",
farm machinery credit act,"Sectoral Policy: Resources, Agriculture & Transport",
farm legislation amendments,"Sectoral Policy: Resources, Agriculture & Transport",
special committee on a Canadian flag,Government & Electoral Affairs,
National Film Board production costs and purpose,Government & Electoral Affairs,
pesticide residue research programs,"Sectoral Policy: Resources, Agriculture & Transport",
North Sydney ferry terminal development,"Sectoral Policy: Resources, Agriculture & Transport",
veterans disability pensions statistics,Social Policy,
Tallman Construction Co. Ltd. contract award,"Sectoral Policy: Resources, Agriculture & Transport",
charitable status of Oxford group,Taxation,
taxation of charitable organizations,Taxation,
funding for new medical schools,Social Policy,
public support to medical research,Social Policy,
student loans act credit union designation,Social Policy,
navy university training unit reorganization,Defence & National Security,
public inquiry into transport investigation,Parliamentary Procedure,
consideration of bill at next stage,Parliamentary Procedure,
farm machinery implementation,"Sectoral Policy: Resources, Agriculture & Transport",
Crop Insurance Act amendments,"Sectoral Policy: Resources, Agriculture & Transport",
nuclear role negotiations,Defence & National Security,
strike reconnaissance role in national defence,Defence & National Security,
defence and external affairs policy co-operation,Defence & National Security,
Canadian prestige and NATO allies,Trade & Foreign Affairs,
1967 world exposition deputy commissioner general,Trade & Foreign Affairs,
Cuban refugees at Gander airport,"Justice, Rights & Immigration",
private pilot monocular vision study,Defence & National Security,
St. Lawrence Seaway coordination,"Sectoral Policy: Resources, Agriculture & Transport",
time for smaller parties on CBC,Government & Electoral Affairs,
personal privilege re security review board,Parliamentary Procedure,
committee structure discussion,Parliamentary Procedure,
government air policy statement,"Sectoral Policy: Resources, Agriculture & Transport",
civil aviation policy and retired CNR employees pensions,Social Policy,
Dixon-Speas report Manitoba,"Sectoral Policy: Resources, Agriculture & Transport",
automation in railways and economy,Economy & Public Finance,
railway bill informal meetings,"Sectoral Policy: Resources, Agriculture & Transport",
regional air services and tunnels,"Sectoral Policy: Resources, Agriculture & Transport",
transportation policy and departmental responsibilities,"Sectoral Policy: Resources, Agriculture & Transport",
air policy and railway legislation,"Sectoral Policy: Resources, Agriculture & Transport",
Queen's visit to Ottawa,Trade & Foreign Affairs,
information staff of industry and defence production,Government & Electoral Affairs,
contracting out social programs,Social Policy,
licensing of private airplane pilots,"Sectoral Policy: Resources, Agriculture & Transport",
national capital commission fees,Government & Electoral Affairs,
national parks administration and wildlife resources,"Sectoral Policy: Resources, Agriculture & Transport",
preservation of furniture honouring Agnes MacPhail,Government & Electoral Affairs,
disposal of government furniture,Government & Electoral Affairs,
establishment of national park on Bruce peninsula,"Sectoral Policy: Resources, Agriculture & Transport",
national parks and historic sites,"Sectoral Policy: Resources, Agriculture & Transport",
Wood Buffalo national park herd,"Sectoral Policy: Resources, Agriculture & Transport",
national parks and highway fees,"Sectoral Policy: Resources, Agriculture & Transport",
Mount Revelstoke park development and housing,"Sectoral Policy: Resources, Agriculture & Transport",
national parks development and tourism,"Sectoral Policy: Resources, Agriculture & Transport",
national parks and provincial recreation areas,"Sectoral Policy: Resources, Agriculture & Transport",
preservation of historical spots in Vancouver,"Sectoral Policy: Resources, Agriculture & Transport",
national parks and watershed development,"Sectoral Policy: Resources, Agriculture & Transport",
protection of whooping and sandhill cranes,"Sectoral Policy: Resources, Agriculture & Transport",
national parks development funding,"Sectoral Policy: Resources, Agriculture & Transport",
Canada Water Conservation Act projects,"Sectoral Policy: Resources, Agriculture & Transport",
Canada Water Conservation Act applications,"Sectoral Policy: Resources, Agriculture & Transport",
private member's bill procedure,Parliamentary Procedure,
rules for bill scheduling,Parliamentary Procedure,
point of order on bill procedure,Parliamentary Procedure,
suggestion for committee consideration,Parliamentary Procedure,
control of laboratory animals,"Justice, Rights & Immigration",
unemployment statistics,Economy & Public Finance,
supplementary death benefit plan coverage,Social Policy,
student loans legislation and provincial allocations,Social Policy,
contracting out cost sharing programs,Social Policy,
turkey prices and importations,"Sectoral Policy: Resources, Agriculture & Transport",
mistreatment of Indian child in boarding home,Social Policy,
opposition criticism of government performance,Government & Electoral Affairs,
criticism of Prime Minister's unification efforts,Government & Electoral Affairs,
praise for the Prime Minister,Government & Electoral Affairs,
economic progress and government policies,Economy & Public Finance,
winter house building program and mortgage loans,Economy & Public Finance,
economic growth and forecasts,Economy & Public Finance,
dollar revaluation and economic policy,Economy & Public Finance,
economic outlook and government action,Economy & Public Finance,
economic improvement and capital spending,Economy & Public Finance,
housing starts and completions,Economy & Public Finance,
consumer price index and living standards,Economy & Public Finance,
Canadian economic policy and tax cuts,Taxation,
economic expansion and unemployment reduction,Economy & Public Finance,
Canadian economic policies and capital spending,Economy & Public Finance,
amendments to corporations and labour unions returns act,Government & Electoral Affairs,
amendments to Corporations and Labour Unions Returns Act,Government & Electoral Affairs,
corporations and labour unions returns act,Government & Electoral Affairs,
referring bill subject matter to committee,Parliamentary Procedure,
Corporations and Labour Unions Act information gathering,Government & Electoral Affairs,
corporations and labour unions returns processing,Government & Electoral Affairs,
corporations and labour unions act amendments,Government & Electoral Affairs,
disclosure of statistical information,Government & Electoral Affairs,
foreign ownership information act amendments,Government & Electoral Affairs,
farm machinery syndicate loans,"Sectoral Policy: Resources, Agriculture & Transport",
order of business for farm machinery credit bill,"Sectoral Policy: Resources, Agriculture & Transport",
Calvin Macdonald US immigration application,"Justice, Rights & Immigration",
Canada's relations with South Viet Nam,Trade & Foreign Affairs,
housing for federal employees in Churchill,Government & Electoral Affairs,
seal hunting regulations amendments,"Sectoral Policy: Resources, Agriculture & Transport",
farm machinery and farmer income,"Sectoral Policy: Resources, Agriculture & Transport",
feed grains and agricultural co-operatives,"Sectoral Policy: Resources, Agriculture & Transport",
agriculture policy and government inaction,"Sectoral Policy: Resources, Agriculture & Transport",
non-resident ownership of Canadian companies,Government & Electoral Affairs,
poultry and turkey prices,"Sectoral Policy: Resources, Agriculture & Transport",
cultural exchange with Soviet Union,Trade & Foreign Affairs,
press summary for prime minister and cabinet,Government & Electoral Affairs,
pesticide use in national parks,"Sectoral Policy: Resources, Agriculture & Transport",
SIU elections and trustee committee appearance,Parliamentary Procedure,
televising royal visit and world series,Trade & Foreign Affairs,
housing for naval personnel in Halifax,Government & Electoral Affairs,
fisheries research and consumer education,"Sectoral Policy: Resources, Agriculture & Transport",
Beauchesne's fourth edition citation 184,Parliamentary Procedure,
dairying income figures comparison,"Sectoral Policy: Resources, Agriculture & Transport",
student loan interest rate clarification,Social Policy,
citizenship applications and oaths,"Justice, Rights & Immigration",
veterans' housing rentals,Government & Electoral Affairs,
referral of fisheries estimates to committee,"Sectoral Policy: Resources, Agriculture & Transport",
Newfoundland fisheries development program,"Sectoral Policy: Resources, Agriculture & Transport",
fisheries policy and estimates,"Sectoral Policy: Resources, Agriculture & Transport",
lamprey control in lake superior,"Sectoral Policy: Resources, Agriculture & Transport",
salmon stream pollution control,"Sectoral Policy: Resources, Agriculture & Transport",
oolachan fish and provincial jurisdiction,"Sectoral Policy: Resources, Agriculture & Transport",
lamprey control in Great Lakes fisheries,"Sectoral Policy: Resources, Agriculture & Transport",
fisheries and research expenditures,"Sectoral Policy: Resources, Agriculture & Transport",
fisheries hatchery and seal investments,"Sectoral Policy: Resources, Agriculture & Transport",
lake Erie pollution and fisheries marketing,"Sectoral Policy: Resources, Agriculture & Transport",
public inquiry into aircraft loss,Defence & National Security,
UN security council resolution on Middle East,Trade & Foreign Affairs,
heating system conversion at Cold Lake airport,"Sectoral Policy: Resources, Agriculture & Transport",
review of designated areas program,"Sectoral Policy: Resources, Agriculture & Transport",
housing conferences with Ontario ministers,Constitutional & Intergovernmental Relations,
US countervailing duties on Canadian auto exports,Trade & Foreign Affairs,
immigration administration and assistance,"Justice, Rights & Immigration",
immigration policy and act amendments,"Justice, Rights & Immigration",
immigration of Chinese farm workers,"Justice, Rights & Immigration",
citizenship application refusal for atheism,"Justice, Rights & Immigration",
grants for citizenship promotion and integration,"Justice, Rights & Immigration",
Canadian citizenship for non-religious persons,"Justice, Rights & Immigration",
citizenship applications for Chinese immigrants,"Justice, Rights & Immigration",
order of business for farm machinery bill,Parliamentary Procedure,
CN railway land use study Toronto,"Sectoral Policy: Resources, Agriculture & Transport",
grants for alcoholism and drug addiction research,Social Policy,
federal-provincial forestry agreement road construction,"Sectoral Policy: Resources, Agriculture & Transport",
grants for research at McMaster University,Social Policy,
animal testing for nuclear radiation effects,Defence & National Security,
Canadian nuclear policy and NATO,Defence & National Security,
Canada's participation in UN force in Cyprus,Trade & Foreign Affairs,
UN mandate renewal and enlarged powers,Trade & Foreign Affairs,
UN voluntary fund contributions for Cyprus,Trade & Foreign Affairs,
parliamentary privilege and cost estimates,Parliamentary Procedure,
cost of UN force in Cyprus,Trade & Foreign Affairs,
winter berthing of ship Acadia at Pictou,"Sectoral Policy: Resources, Agriculture & Transport",
hog quality premium payments,"Sectoral Policy: Resources, Agriculture & Transport",
investigation into cadet's hospital admission,Social Policy,
flag protocol at national war memorial,Parliamentary Procedure,
farm legislation and opposition tactics,Parliamentary Procedure,
farm machinery syndicates and credit,"Sectoral Policy: Resources, Agriculture & Transport",
Farm Credit Act machinery definition,"Sectoral Policy: Resources, Agriculture & Transport",
farm machinery bill subamendment admissibility,Parliamentary Procedure,
referring bills to committee before principle,Parliamentary Procedure,
ruling on subamendment legality,Parliamentary Procedure,
appeal from ruling on subamendment,Parliamentary Procedure,
gross national product growth,Economy & Public Finance,
economic growth and balance of payments,Economy & Public Finance,
railway bill background information,"Sectoral Policy: Resources, Agriculture & Transport",
hospital treatment for cadets,Social Policy,
amnesty and the Parole Act,"Justice, Rights & Immigration",
inquiry into murder at Dorchester penitentiary,"Justice, Rights & Immigration",
fishing vessel deposits and immigration act,"Justice, Rights & Immigration",
railway passenger accommodation for employees,"Sectoral Policy: Resources, Agriculture & Transport",
Haines road winter maintenance agreement,"Sectoral Policy: Resources, Agriculture & Transport",
heating unit conversion at Cold Lake,"Sectoral Policy: Resources, Agriculture & Transport",
US strike directors in Toronto,"Justice, Rights & Immigration",
farm improvement loans administration,"Sectoral Policy: Resources, Agriculture & Transport",
farm machinery syndicate loan,"Sectoral Policy: Resources, Agriculture & Transport",
legal capacity and farm credit legislation,"Sectoral Policy: Resources, Agriculture & Transport",
application of Quebec civil code to federal law,Constitutional & Intergovernmental Relations,
farm machinery reimbursement of funds,"Sectoral Policy: Resources, Agriculture & Transport",
farm syndicate loans estate buyouts,"Sectoral Policy: Resources, Agriculture & Transport",
farm machinery syndicates loans,"Sectoral Policy: Resources, Agriculture & Transport",
spurious insurance advertising practices,"Justice, Rights & Immigration",
turkey imports and producer prices,"Sectoral Policy: Resources, Agriculture & Transport",
turkey import quotas and tariffs,"Sectoral Policy: Resources, Agriculture & Transport",
"Indian Superintendent visits to Iskut, B.C",Government & Electoral Affairs,
CBC film production statistics,Government & Electoral Affairs,
Great Lakes water levels and regulation study,"Sectoral Policy: Resources, Agriculture & Transport",
student loan plan abuses,Social Policy,
federal-provincial education agreements,Social Policy,
Supply-Justice,Parliamentary Procedure,
constitutional amendment formula,Constitutional & Intergovernmental Relations,
constitutional amendment conference procedure,Constitutional & Intergovernmental Relations,
North Pacific fisheries convention negotiations,Trade & Foreign Affairs,
question period rules and enforcement,Parliamentary Procedure,
increase in disability pensions and war veterans allowances,Social Policy,
Hal Banks investigation and government inaction,"Justice, Rights & Immigration",
ministerial knowledge of fugitive Banks,"Justice, Rights & Immigration",
UN Cyprus force battalion rotation,Trade & Foreign Affairs,
RCAF La Macaza use of force allegations,Defence & National Security,
RCAF guards and demonstrators at air force station,Defence & National Security,
trespassing on government property,"Justice, Rights & Immigration",
La Macaza military base demonstration,Defence & National Security,
suspension of stevedores in Montreal,"Justice, Rights & Immigration",
D.E.W. line labour dispute arbitration,"Justice, Rights & Immigration",
Canadian economic performance and international trade,Economy & Public Finance,
Canadian trade promotion and tourism,Trade & Foreign Affairs,
federal and provincial jurisdiction over culture and agriculture,Constitutional & Intergovernmental Relations,
Mr. Banks' whereabouts,"Justice, Rights & Immigration",
great lakes water levels regulation,"Sectoral Policy: Resources, Agriculture & Transport",
Chicago water diversion and Canadian water supply,"Sectoral Policy: Resources, Agriculture & Transport",
Great Lakes water levels and supply,"Sectoral Policy: Resources, Agriculture & Transport",
Great Lakes Water Levels,"Sectoral Policy: Resources, Agriculture & Transport",
admissibility of amendment,Parliamentary Procedure,
great lakes water levels study,"Sectoral Policy: Resources, Agriculture & Transport",
amendment procedure for committee powers,Parliamentary Procedure,
national water policy and resources,"Sectoral Policy: Resources, Agriculture & Transport",
dominion coal board subventions,"Sectoral Policy: Resources, Agriculture & Transport",
coal export subsidy to Japan,"Sectoral Policy: Resources, Agriculture & Transport",
coal subventions and western coal industry,"Sectoral Policy: Resources, Agriculture & Transport",
coal industry policy and automation,"Sectoral Policy: Resources, Agriculture & Transport",
amendments to Railway Act on branch line abandonment,"Sectoral Policy: Resources, Agriculture & Transport",
referral of bill subject matter to committee,Parliamentary Procedure,
Trans-Canada Air Lines telephone service,"Sectoral Policy: Resources, Agriculture & Transport",
psychiatrist training grants and funding,Social Policy,
synchronization of railway and traffic signals,"Sectoral Policy: Resources, Agriculture & Transport",
Trans-Canada Air Lines quality performance,"Sectoral Policy: Resources, Agriculture & Transport",
federal contributions to provincial occupational training,Social Policy,
Department of Transport ferry services,"Sectoral Policy: Resources, Agriculture & Transport",
Central Mortgage and Housing Corporation loan conditions,"Sectoral Policy: Resources, Agriculture & Transport",
Hal Banks and administration of justice,"Justice, Rights & Immigration",
standing order 26 urgency debate,Parliamentary Procedure,
deportation of landed immigrant Hal Banks,"Justice, Rights & Immigration",
beef and poultry price stabilization,"Sectoral Policy: Resources, Agriculture & Transport",
value of the Canadian dollar,Economy & Public Finance,
international monetary arrangements,Economy & Public Finance,
farm machinery syndicates bill,"Sectoral Policy: Resources, Agriculture & Transport",
cooperative syndicate machinery purchase legislation,"Sectoral Policy: Resources, Agriculture & Transport",
farm syndicate regulations,"Sectoral Policy: Resources, Agriculture & Transport",
farm machinery use after death,"Sectoral Policy: Resources, Agriculture & Transport",
farm machinery co-operative loans,"Sectoral Policy: Resources, Agriculture & Transport",
farm syndicate borrowing limits,"Sectoral Policy: Resources, Agriculture & Transport",
Farm Credit Corporation farmer loans,"Sectoral Policy: Resources, Agriculture & Transport",
Farm Improvement Loans Act machinery financing,"Sectoral Policy: Resources, Agriculture & Transport",
